round,trial,lobster,first.choice,side,treatment,tank,days in captive use
7,37,39,1,side.B,blank,1b,26
7,38,42,0,side.A,blank,2a,26
7,38,42,1,side.B,scent,2b,26
7,39,38,0,side.A,st/sc,3a,26
7,39,38,1,side.B,blank,3b,26
7,40,41,0,side.A,structure,4a,26
7,40,41,1,side.B,scent,4b,26
7,41,37,0,side.A,st/sc,5a,26
7,41,37,1,side.B,structure,5b,26
7,42,40,0,side.A,scent,6a,26
7,42,40,1,side.B,st/sc,6b,26
8,43,45,1,side.A,scent,1a,26
8,43,45,0,side.B,blank,1b,26
8,44,46,0,side.A,blank,2a,26
8,44,46,1,side.B,st/sc,2b,26
8,45,44,0,side.A,scent,3a,26
8,45,44,1,side.B,structure,3b,26
8,46,48,0,side.A,structure,4a,26
8,46,48,1,side.B,st/sc,4b,26
8,47,47,1,side.A,st/sc,5a,26
8,47,47,0,side.B,scent,5b,26
8,48,43,0,side.A,blank,6a,26
8,48,43,1,side.B,structure,6b,26
9,49,53,0,side.A,blank,1a,26
9,49,53,1,side.B,st/sc,1b,26
9,50,51,0,side.A,scent,2a,26
9,50,51,1,side.B,structure,2b,26
9,51,49,0,side.A,structure,3a,26
9,51,49,1,side.B,st/sc,3b,26
9,52,50,1,side.A,st/sc,4a,26
9,52,50,0,side.B,scent,4b,26
9,53,54,0,side.A,blank,5a,26
9,53,54,1,side.B,structure,5b,26
9,54,52,1,side.A,scent,6a,26
9,54,52,0,side.B,blank,6b,26
10,55,59,1,side.A,structure,1a,26
10,55,59,0,side.B,scent,1b,26
10,56,55,0,side.A,st/sc,2a,26
10,56,55,1,side.B,structure,2b,26
10,57,56,0,side.A,scent,3a,26
10,57,56,1,side.B,st/sc,3b,26
10,58,60,0,side.A,structure,4a,26
10,58,60,1,side.B,blank,4b,26
10,59,57,0,side.A,blank,5a,26
10,59,57,1,side.B,scent,5b,26
10,60,58,0,side.A,st/sc,6a,26
10,60,58,1,side.B,blank,6b,26
11,61,61,1,side.A,structure,1a,26
11,61,61,0,side.B,st/sc,1b,26
11,62,66,0,side.A,st/sc,2a,26
11,62,66,1,side.B,scent,2b,26
11,63,62,0,side.A,blank,3a,26
11,63,62,1,side.B,structure,3b,26
11,64,64,1,side.A,scent,4a,26
11,64,64,0,side.B,blank,4b,26
11,65,63,0,side.A,blank,5a,26
11,65,63,1,side.B,st/sc,5b,26
11,66,65,1,side.A,scent,6a,26
11,66,65,0,side.B,structure,6b,26
12,67,72,0,side.A,scent,1a,26
12,67,72,1,side.B,st/sc,1b,26
12,68,70,0,side.A,structure,2a,26
12,68,70,1,side.B,blank,2b,26
12,69,68,1,side.A,blank,3a,26
12,69,68,0,side.B,scent,3b,26
12,70,69,0,side.A,st/sc,4a,26
12,70,69,1,side.B,blank,4b,26
12,71,71,1,side.A,structure,5a,26
12,71,71,0,side.B,scent,5b,26
12,72,67,1,side.A,st/sc,6a,26
12,72,67,0,side.B,structure,6b,26
13,73,38,0,side.A,blank,1a,28
13,73,38,1,side.B,structure,1b,28
13,74,40,1,side.A,scent,2a,28
13,74,40,0,side.B,blank,2b,28
13,75,41,0,side.A,blank,3a,28
13,75,41,1,side.B,st/sc,3b,28
13,76,42,0,side.A,scent,4a,28
13,76,42,1,side.B,structure,4b,28
13,77,37,1,side.A,structure,5a,28
13,77,37,0,side.B,st/sc,5b,28
13,78,39,1,side.A,st/sc,6a,28
13,78,39,0,side.B,scent,6b,28
14,79,47,0,side.A,blank,1a,28
14,79,47,1,side.B,scent,1b,28
14,80,46,1,side.A,st/sc,2a,28
14,80,46,0,side.B,blank,2b,28
14,81,48,0,side.A,structure,3a,28
14,81,48,1,side.B,scent,3b,28
14,82,44,1,side.A,st/sc,4a,28
14,82,44,0,side.B,structure,4b,28
14,83,43,1,side.A,scent,5a,28
14,83,43,0,side.B,st/sc,5b,28
14,84,45,1,side.A,structure,6a,28
14,84,45,0,side.B,blank,6b,28
15,85,54,1,side.A,st/sc,1a,28
15,85,54,0,side.B,blank,1b,28
15,86,51,1,side.A,structure,2a,28
15,86,51,0,side.B,scent,2b,28
15,87,49,1,side.A,st/sc,3a,28
15,87,49,0,side.B,structure,3b,28
15,88,52,1,side.A,scent,4a,28
15,88,52,0,side.B,st/sc,4b,28
15,89,50,0,side.A,structure,5a,28
15,89,50,1,side.B,blank,5b,28
15,90,53,0,side.A,blank,6a,28
15,90,53,1,side.B,scent,6b,28
16,91,59,0,side.A,scent,1a,28
16,91,59,1,side.B,structure,1b,28
16,92,57,1,side.A,structure,2a,28
16,92,57,0,side.B,st/sc,2b,28
16,93,56,0,side.A,st/sc,3a,28
16,93,56,1,side.B,scent,3b,28
16,94,58,1,side.A,blank,4a,28
16,94,58,0,side.B,structure,4b,28
16,95,60,0,side.A,scent,5a,28
16,95,60,1,side.B,blank,5b,28
16,96,55,0,side.A,blank,6a,28
16,96,55,1,side.B,st/sc,6b,28
17,97,76,0,side.A,st/sc,1a,29
17,97,76,1,side.B,structure,1b,29
17,98,77,0,side.A,scent,2a,29
17,98,77,1,side.B,st/sc,2b,29
17,99,73,0,side.A,structure,3a,29
17,99,73,1,side.B,blank,3b,29
17,101,78,0,side.A,st/sc,5a,29
17,101,78,1,side.B,blank,5b,29
17,102,74,1,side.A,structure,6a,29
17,102,74,0,side.B,scent,6b,29
18,103,83,1,side.A,st/sc,1a,29
18,103,83,0,side.B,scent,1b,29
18,104,80,0,side.A,blank,2a,29
18,104,80,1,side.B,structure,2b,29
18,105,79,1,side.A,scent,3a,29
18,105,79,0,side.B,blank,3b,29
18,106,82,0,side.A,blank,4a,29
18,106,82,1,side.B,st/sc,4b,29
18,107,84,1,side.A,scent,5a,29
18,107,84,0,side.B,structure,5b,29
18,108,81,0,side.A,structure,6a,29
18,108,81,1,side.B,st/sc,6b,29
19,109,90,1,side.A,structure,1a,29
19,109,90,0,side.B,blank,1b,29
19,110,89,1,side.A,blank,2a,29
19,110,89,0,side.B,scent,2b,29
19,111,86,1,side.A,st/sc,3a,29
19,111,86,0,side.B,blank,3b,29
19,112,87,0,side.A,structure,4a,29
19,112,87,1,side.B,scent,4b,29
19,113,88,0,side.A,st/sc,5a,29
19,113,88,1,side.B,structure,5b,29
19,114,85,0,side.A,scent,6a,29
19,114,85,1,side.B,st/sc,6b,29
20,115,94,1,side.A,scent,1a,29
20,115,94,0,side.B,blank,1b,29
20,116,96,0,side.A,blank,2a,29
20,116,96,1,side.B,st/sc,2b,29
20,117,92,1,side.A,scent,3a,29
20,117,92,0,side.B,structure,3b,29
20,118,95,1,side.A,structure,4a,29
20,118,95,0,side.B,st/sc,4b,29
20,119,91,1,side.A,st/sc,5a,29
20,119,91,0,side.B,scent,5b,29
20,120,93,0,side.A,blank,6a,29
20,120,93,1,side.B,structure,6b,29
21,121,78,1,side.A,blank,1a,30
21,121,78,0,side.B,st/sc,1b,30
21,122,74,1,side.A,scent,2a,30
21,122,74,0,side.B,structure,2b,30
21,123,75,1,side.A,structure,3a,30
21,123,75,0,side.B,st/sc,3b,30
21,124,73,1,side.A,st/sc,4a,30
21,124,73,0,side.B,scent,4b,30
21,125,76,0,side.A,blank,5a,30
21,125,76,1,side.B,structure,5b,30
21,126,77,1,side.A,scent,6a,30
21,126,77,0,side.B,blank,6b,30
22,127,80,0,side.A,structure,1a,30
22,127,80,1,side.B,scent,1b,30
22,128,83,1,side.A,st/sc,2a,30
22,128,83,0,side.B,structure,2b,30
22,129,79,0,side.A,scent,3a,30
22,129,79,1,side.B,st/sc,3b,30
22,130,82,0,side.A,structure,4a,30
22,130,82,1,side.B,blank,4b,30
22,131,81,0,side.A,blank,5a,30
22,131,81,1,side.B,scent,5b,30
22,132,84,1,side.A,st/sc,6a,30
22,132,84,0,side.B,blank,6b,30
23,133,89,1,side.A,structure,1a,30
23,133,89,0,side.B,st/sc,1b,30
23,134,87,1,side.A,st/sc,2a,30
23,134,87,0,side.B,scent,2b,30
23,135,90,1,side.A,blank,3a,30
23,135,90,0,side.B,structure,3b,30
23,136,88,1,side.A,scent,4a,30
23,136,88,0,side.B,blank,4b,30
23,137,86,0,side.A,blank,5a,30
23,137,86,1,side.B,st/sc,5b,30
23,138,96,0,side.A,scent,6a,30
23,138,96,1,side.B,structure,6b,30
24,139,95,1,side.A,structure,5a,30
24,139,95,0,side.B,st/sc,5b,30
24,140,94,0,side.A,structure,6a,30
24,140,94,1,side.B,st/sc,6b,30
25,142,93,0,side.A,blank,4a,30
25,142,93,1,side.B,scent,4b,30
